GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.artifact.resolver,OptionalArtifactFilter,0,15,0,2,0,4,0,4,0,3
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.reporting,FitNesseHtmlReport,34,0,0,0,9,0,9,0,9,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,Launch,0,278,0,36,0,66,0,36,0,18
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,TearDownMojo,0,52,0,0,0,3,0,2,0,2
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,WikiMojo,0,169,0,12,0,34,0,11,0,5
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,ShutdownMojo,0,20,0,0,0,5,0,2,0,2
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,AbstractFitNesseMojo,10,595,2,50,4,116,2,40,0,16
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,AbstractSetupsMojo,0,28,0,0,0,7,0,2,0,2
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,VerifyMojo,0,57,0,0,0,15,0,3,0,3
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,SetUpMojo,0,376,0,6,0,30,0,12,0,9
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,RunTestsMojo,0,236,0,4,0,61,0,25,0,23
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.main,FitNesseMain,63,265,11,13,10,59,11,11,1,9
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.responders.run,DelegatingResultsListener,0,223,0,20,0,33,0,21,0,11
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.util,FitNesseHelper,0,269,2,12,0,57,2,14,0,9
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.util,Utils,0,176,0,28,0,35,0,20,0,6
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.util,Interrupter,0,23,0,2,0,10,0,3,0,2
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.junit,TestHelper,0,97,0,2,0,25,0,5,0,4
